session,market_time,recorded_at,v9_gbp,vwrp_gbp,passive_mix_gbp,passive_scaled_gbp,trend_unscaled_gbp,vwrp_scaled_gbp,cash_gbp,receivables_gbp,costs_gbp,holdings
2026-09-22,2026-09-22 15:30:00+00:00,2026-09-22 20:07:16.287124+00:00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,0.0,{}
